Date,Customer_ID,Customer_Name,Phone,Vehicle_Type,Plate_Number,Service_Type,Complaint,Parts_Replaced,Mechanic_Name,Service_Cost,Payment_Mode,Return_Visit,Rating,Service_Time_Hours,Remarks,Status,Workshop_Location,Referral_Source,Wait_Time_Mins,Spare_Parts_Availability,Parts_Source,Service_Priority,Customer_Type,Fleet_Name,Mechanic_Skill_Level,Parts_Cost,Labour_Cost,Fuel_TopUp?,Discount_Given,Promo_Code_Used,Follow_Up_Date,Has_Insurance_Cover,Mechanic_Notes,Customer_Notes,Request_For_Pickup,Home_Service,Towing_Required,Service_Package,Whatsapp_Followup
03-24-2025,CUS439,Aisha Bello,08049176757,Mercedes-Benz C300,KAN409CD,Brake Service,suspension noiz,Battery,Tijani,13544,Cash,No,4.0,2.7,,Completed,VIP section,Mechanic Referral,60,Available,Direct from Benz,normal,Fleet Owner,Govt Convoy,Specialist,twenty thousand,,No,5k,N/A,14/08/2025,no,,no complain,N,Yes,Yes,gold,No
2025-02-11,CUS440,Tunde Bayo,08099477179,Honda Accord,KAN624EF,Oil Change,engine knoking,Air filter,Musa,43994,CASH,Yes,3.0,4.5,Urgent service,Completed,Under tree,Instagram,15,availaible,Direct from Benz,Booking,Uber Driver,Bolt Driver,Senior,30000,20000,No,5000,NONE,,,,Always late,Yes,YES,No,,Yes
2025-04-26,CUS441,John Doe,08018958209,Lexus RX 350,ABJ735GH,Engine Repair,Enjin Knockin,Air filter,Tijani,19823,CASH,No,,4.9,,In progress,Main Bay,Mechanik Referal,15,Unavailable,Customer Brought,Normal,Fleet Owner,,Apprentice,40000,35000,YES,,NONE,21/10/2025,Yes,,Always late,N,no,Yes,one time,Yes
05-11-2025,CUS442,Tunde Bayo,08039159454,Toyota Corolla,KAN998EF,Battery Replacement,Brake Falure,"Oil filter, Brake pads",Isaac Bobo,107340,CASH,No,1.0,3.5,Changed all filters,Completed,Under tree,Road Sign,30,availaible,Direct from Benz,Emergncy,First Time,Logistics Co,,40000,30000,no,5k,LOYALTY10,2025-06-25,Yes,,Prefers morning,N,no,Yes,Gold Maintenance Plan,followed up
07/04/2025,CUS443,Emeka Okafor,08076234781,Toyota Corolla,ABJ873EF,Brake Service,brake faliure,Timing belt,Tijani,112042,Transfer,Yes,,2.9,Customer waited,Pending,,Instagram,30,Unavailable,Benz supply,Emergncy,Uber Driver,,,twenty thousand,20000,,5k,,2025-12-05,no,,,Y,Yes,Yes,gold,followed up
03-27-2025,CUS444,Ngozi Nwachukwu,08065200819,Toyota Corolla,ABJ512GH,Brake Service,Enjin Knockin,None,Uche,30469,Transfer,Yes,2.0,3.0,Customer waited,Pending,Main Bay,Road Sign,30,Ordered,Benz supply,Booking,first timer,Logistics Co,speciallist,twenty thousand,30k,,0,NONE,2025-11-24,,,,N,Yes,No,One-time,
2025-02-08,CUS445,Ngozi Nwachukwu,08084198767,Mercedes-Benz C300,ABJ573GH,Brake Service,Oill Change,Timing belt,Uche,13361,transfer,Yes,5.0,5.6,Customer waited,Pending,,whatsapp,45,orderd,Benz supply,normal,Fleet Owner,Private,Apprentice,twenty thousand,20000,YES,0,LOYALTY10,2025-07-20,No,,no complain,,no,,one time,
18/04/2025,CUS446,Tunde Bayo,08026271298,Mercedes-Benz C300,LAG959CD,Brake Service,oilchng,Battery,Tijani,28460,POS,Yes,2.0,1.4,Recommended further checks,In progress,Under tree,Mechanic Referral,45,Unavailable,Ladipo Market,Emergncy,Fleet Owner,Bolt Driver,Specialist,,30000,Yes,5k,Promo10,,YES,,Prefers morning,Yes,no,No,,
2025-04-25,CUS447,Emeka Okafor,08059490380,Toyota Corolla,ABJ156EF,Suspension Work,Oill Change,None,Tijani,73157,transfer,Yes,3.0,4.5,Urgent service,In progress,Main Bay,Mechanic Referral,30,availaible,Customer Brought,Emergncy,Uber Driver,Logistics Co,Senior ,twenty thousand,40000,Yes,5k,,,YES,,Prefers morning,No,YES,,One-time,No
2025-01-31,CUS448,Emeka Okafor,08020272170,Mercedes-Benz GLE,KAN209EF,Suspension Work,oilchng,Timing belt,Uche,17053,transfer,No,1.0,3.5,Changed all filters,Pending,VIP Section,Road Sign,,Ordered,Benz supply,Emergency,Returning,Govt Convoy,Senior ,40000,30000,Yes,5000,NONE,2025-11-07,no,Shock absorber weakening,no complain,Yes,No,No,one time,No
06/03/2025,CUS449,Emeka Okafor,08024123001,Lexus RX 350,KAN199EF,Oil Change,Engin Knok,None,Musa,65372,transfer,No,5.0,4.0,,Completed,Main Bay,Instagram,45mins,Ordered,Customer Brought,Normal,first timer,Logistics Co,Senior,15000,30k,Yes,,LOYALTY10,,no,Needs tire alignment,Always late,Y,,Yes,Gold Maintenance Plan,No
2025-05-08,CUS450,John Doe,08077698729,Toyota Corolla,KAN593GH,Engine Repair,Oil chang,Shock absorbers,Isaac Bobo,26136,transfer,Yes,5.0,3.8,Urgent service,In progress,Under tree,Instagram,,Ordered,Ladipo Market,Emergncy,Fleet Owner,,Apprentice,twenty thousand,40000,YES,5k,N/A,,no,,no complain,,,,Gold Maintenance Plan,No
2025-06-05,CUS451,Emeka Okafor,08053756742,Mercedes-Benz C300,LAG985CD,Battery Replacement,Enjin Knockin,Air filter,Musa,57424,Transfer,Yes,5.0,2.0,Recommended further checks,Completed,VIP section,Mechanik Referal,,orderd,Customer Brought,Booking,Returning,,,30000,35000,Yes,5k,,2025-12-23,no,Shock absorber weakening,Always late,,no,Yes,gold,followed up
02/05/2025,CUS452,Tunde Bayo,08065042162,Mercedes-Benz C300,ABJ858GH,Battery Replacement,,Timing belt,,90511,CASH,No,3.0,2.2,Recommended further checks,In progress,VIP Section,Mechanic Referral,45mins,orderd,Direct from Benz,Emergncy,Returning,Govt Convoy,Apprentice,25000,30000,YES,0,LOYALTY10,2025-07-15,,,,Y,No,,,
06-03-2025,CUS453,Tunde Bayo,08070523603,Lexus RX 350,KAN623GH,Engine Repair,Engin Knok,Battery,Isaac Bobo,31227,Transfer,No,,4.1,Urgent service,Pending,VIP Section,whatsapp,30,availaible,Ladipo Market,Normal,Returning,,Apprentice,twenty thousand,30000,,5000,LOYALTY10,23/12/2025,YES,,Prefers morning,Yes,YES,No,Gold Maintenance Plan,No
04/03/2025,CUS454,Aisha Bello,08032124330,Lexus RX 350,KAN154GH,Battery Replacement,Suspenshun Noise,Timing belt,Musa,72824,Cash,No,3.0,4.5,Changed all filters,In progress,Main Bay,Road Sign,45mins,orderd,Direct from Benz,Emergency,first timer,,Apprentice,,20000,Yes,10000,,2025-11-10,,Needs tire alignment,Always late,Y,YES,Yes,one time,followed up
2025-06-08,CUS455,Ngozi Nwachukwu,08043925761,Mercedes-Benz GLE,ABJ628CD,Brake Service,Suspenshun Noise,Shock absorbers,Isaac Bobo,40252,Transfer,No,2.0,4.1,Recommended further checks,In progress,,Instagram,45,Available,Customer Brought,Normal,Fleet Owner,Govt Convoy,speciallist,,30000,No,,NONE,2025-12-25,No,,Always late,No,,No,gold,
2025-01-13,CUS456,Ngozi Nwachukwu,08037833011,Mercedes-Benz C300,KAN858EF,Battery Replacement,engine knoking,Shock absorbers,Tijani,83076,pos,No,5.0,3.7,Customer waited,In progress,Main Bay,Road Sign,60,availaible,Benz supply,Emergncy,Fleet Owner,,speciallist,40000,30k,,,LOYALTY10,07/07/2025,no,Shock absorber weakening,no complain,,Yes,Towing needed,,
2025-03-31,CUS457,Aisha Bello,08077922837,Honda Accord,ABJ328GH,Suspension Work,oilchng,Shock absorbers,Tijani,74861,pos,No,3.0,5.9,Customer waited,Pending,main bay,whatsapp,15,Ordered,Direct from Benz,Normal,Fleet Owner,Govt Convoy,Senior ,25000,40000,no,5000,N/A,2025-11-17,Yes,Shock absorber weakening,,,,,gold,Yes
04/06/2025,CUS458,Tunde Bayo,08015990830,Honda Accord,KAN972CD,Suspension Work,Engin Knok,None,Isaac Bobo,46428,CASH,Yes,,5.9,Urgent service,Pending,VIP Section,whatsapp,45,availaible,ladipo mkt,Booking,first timer,Logistics Co,,15000,30000,no,10000,N/A,,,Shock absorber weakening,,N,,,,No
13/01/2025,CUS459,Tunde Bayo,08072031070,Mercedes-Benz GLE,LAG743EF,Oil Change,Oil chang,"Oil filter, Brake pads",Isaac Bobo,17904,transfer,No,1.0,5.2,Customer waited,Completed,VIP section,Mechanik Referal,15,availaible,Customer Brought,Booking,First Time,,Specialist,40000,40000,YES,5k,,2025-10-21,YES,Needs tire alignment,Prefers morning,Y,no,,Gold Maintenance Plan,followed up
03-14-2025,CUS460,Tunde Bayo,08013586013,Lexus RX 350,KAN106EF,Brake Service,suspension noiz,Battery,,31804,Transfer,Yes,4.0,3.2,Customer waited,In progress,main bay,Road Sign,60,orderd,Customer Brought,Booking,first timer,Bolt Driver,Specialist,twenty thousand,40000,YES,,N/A,28/06/2025,No,,,Yes,Yes,Towing needed,gold,followed up
2025-06-02,CUS461,Ngozi Nwachukwu,08019824132,Mercedes-Benz C300,KAN804CD,Battery Replacement,suspension noiz,Battery,Tijani,88520,Cash,No,1.0,2.8,Urgent service,Pending,,whatsapp,60,orderd,Ladipo Market,Normal,Fleet Owner,,Senior ,15000,30k,Yes,,Promo10,28/12/2025,,Needs tire alignment,,N,,,,No
2025-04-27,CUS462,Emeka Okafor,08095747226,Lexus RX 350,ABJ168CD,Suspension Work,brake failur,Shock absorbers,Isaac Bobo,91189,CASH,Yes,2.0,5.8,Urgent service,In progress,VIP section,Word of Mouth,45mins,Available,Direct from Benz,normal,Uber Driver,,Apprentice,40000,20000,No,5k,NONE,,no,,no complain,Y,,Towing needed,,Yes
18/03/2025,CUS463,Ngozi Nwachukwu,08071995701,Mercedes-Benz C300,ABJ718CD,Engine Repair,Engin Knok,Air filter,Musa,18063,POS,Yes,2.0,3.3,Urgent service,In progress,VIP Section,whatsapp,45,Ordered,Benz supply,Booking,first timer,Govt Convoy,Senior,15000,,Yes,5k,,2025-06-21,,,,Y,YES,Yes,One-time,Yes
04-20-2025,CUS464,Aisha Bello,08061157834,Mercedes-Benz GLE,KAN199CD,Suspension Work,suspension noiz,Air filter,Isaac Bobo,68079,transfer,No,2.0,2.2,Recommended further checks,Completed,Main Bay,Road Sign,15,orderd,Direct from Benz,Emergncy,Fleet Owner,Private,Specialist,,30k,no,0,N/A,,No,Needs tire alignment,,Yes,Yes,Yes,One-time,No
2025-01-17,CUS465,Emeka Okafor,08056124957,Toyota Corolla,ABJ206EF,Battery Replacement,suspension noiz,None,Tijani,104219,Cash,No,4.0,4.3,Changed all filters,Pending,Under tree,Mechanik Referal,45mins,Available,Direct from Benz,normal,Uber Driver,Bolt Driver,Senior,25000,40000,,0,Promo10,,YES,Needs tire alignment,Prefers morning,,no,Yes,Gold Maintenance Plan,No
03-26-2025,CUS466,John Doe,08063598753,Mercedes-Benz GLE,ABJ952GH,Engine Repair,suspension noiz,"Oil filter, Brake pads",Musa,104574,transfer,No,4.0,5.3,Customer waited,Pending,VIP section,Mechanik Referal,15,Unavailable,Ladipo Market,normal,Fleet Owner,Govt Convoy,Senior ,,40000,no,5k,Promo10,,Yes,Shock absorber weakening,Prefers morning,N,YES,,gold,followed up
02-23-2025,CUS467,John Doe,08036092407,Lexus RX 350,LAG500CD,Suspension Work,suspension noiz,None,Tijani,21190,pos,Yes,,5.1,Changed all filters,Completed,,Road Sign,15,Unavailable,Direct from Benz,Emergncy,first timer,Logistics Co,Apprentice,twenty thousand,30000,,10000,,2025-09-18,,Needs tire alignment,no complain,No,YES,Yes,Gold Maintenance Plan,
2025-02-23,CUS468,Tunde Bayo,08063240727,Lexus RX 350,ABJ407EF,Battery Replacement,Brake Falure,None,,66521,Cash,No,3.0,2.2,Urgent service,In progress,Main Bay,Instagram,,availaible,Customer Brought,Normal,First Time,Private,Senior ,30000,35000,no,5k,Promo10,2025-12-05,YES,Needs tire alignment,Always late,,No,Towing needed,Gold Maintenance Plan,followed up
2025-05-27,CUS469,Emeka Okafor,08015070029,Toyota Corolla,LAG288CD,Oil Change,Brake Falure,Battery,Uche,65862,Cash,No,2.0,3.4,Changed all filters,Pending,main bay,Mechanik Referal,,Unavailable,Direct from Benz,Normal,Uber Driver,,Specialist,twenty thousand,35000,Yes,5000,NONE,,YES,Needs tire alignment,,Y,,Towing needed,,Yes
04/06/2025,CUS470,Ngozi Nwachukwu,08011441144,Toyota Corolla,KAN366GH,Oil Change,Suspensn Noise,Air filter,Tijani,87438,pos,No,2.0,1.9,Changed all filters,Completed,Under tree,whatsapp,60,orderd,ladipo mkt,Emergency,Uber Driver,,Apprentice,twenty thousand,30k,no,5k,,2025-07-24,,Needs tire alignment,Always late,No,Yes,No,Gold Maintenance Plan,No
03-08-2025,CUS471,Aisha Bello,08043635732,Toyota Corolla,KAN549GH,Suspension Work,brake faliure,Shock absorbers,Musa,12933,CASH,No,5.0,2.7,Urgent service,Pending,Under tree,Mechanik Referal,30,availaible,Customer Brought,normal,First Time,Private,Apprentice,twenty thousand,35000,No,5k,,2025-12-12,No,Shock absorber weakening,Prefers morning,No,YES,,One-time,No
2025-05-28,CUS472,Tunde Bayo,08025392453,Lexus RX 350,KAN226EF,Engine Repair,brake failur,None,Musa,64046,Transfer,Yes,4.0,5.4,Recommended further checks,In progress,VIP section,Mechanik Referal,15,Ordered,Customer Brought,Emergency,Returning,,Specialist,40000,30k,No,10000,NONE,07/07/2025,YES,Needs tire alignment,Always late,No,No,Yes,One-time,followed up
05-08-2025,CUS473,Tunde Bayo,08028318112,Mercedes-Benz GLE,ABJ751CD,Engine Repair,,Battery,,39910,Cash,No,2.0,1.5,Changed all filters,Completed,,whatsapp,15,Available,ladipo mkt,Normal,first timer,Govt Convoy,Senior ,40000,30000,no,0,N/A,,no,,Prefers morning,No,no,,one time,Yes
2025-06-11,CUS474,Emeka Okafor,08053904009,Honda Accord,ABJ245GH,Oil Change,Oil chang,Air filter,,27037,POS,No,2.0,2.5,,In progress,VIP section,Mechanic Referral,45,availaible,ladipo mkt,Normal,Fleet Owner,Private,Specialist,30000,20000,no,5000,N/A,2025-08-21,No,Shock absorber weakening,Prefers morning,Yes,YES,,,yes
2025-06-06,CUS475,Aisha Bello,08099965548,Toyota Corolla,KAN346CD,Battery Replacement,suspension noiz,Battery,Uche,26578,POS,No,1.0,3.0,Urgent service,In progress,main bay,whatsapp,60,Unavailable,ladipo mkt,Normal,First Time,,speciallist,30000,20000,No,0,N/A,,,,Prefers morning,N,,No,Gold Maintenance Plan,
31/01/2025,CUS476,John Doe,08072309982,Mercedes-Benz C300,KAN859GH,Brake Service,Oill Change,Shock absorbers,Musa,46883,transfer,Yes,3.0,4.4,Changed all filters,In progress,Under tree,Road Sign,15,orderd,Direct from Benz,Booking,Returning,Private,Senior ,30000,30000,,10000,NONE,29/10/2025,no,,no complain,No,no,Towing needed,One-time,No
02-23-2025,CUS477,Tunde Bayo,08075063283,Lexus RX 350,KAN305EF,Engine Repair,suspension noiz,"Oil filter, Brake pads",Isaac Bobo,79605,transfer,No,3.0,1.2,Customer waited,In progress,Main Bay,Mechanik Referal,15,Unavailable,Benz supply,Emergncy,Uber Driver,,Senior ,,40000,No,5k,,2025-11-26,No,,no complain,Y,No,Yes,One-time,yes
16/04/2025,CUS478,Tunde Bayo,08071922288,Lexus RX 350,LAG396EF,Engine Repair,Brake Falure,Timing belt,Tijani,95209,Transfer,Yes,2.0,1.7,Urgent service,In progress,main bay,Instagram,,availaible,Benz supply,Emergncy,Returning,,speciallist,40000,20000,No,5000,LOYALTY10,2025-08-01,no,Shock absorber weakening,Always late,,no,Yes,gold,No
2025-03-31,CUS479,Emeka Okafor,08019158638,Mercedes-Benz GLE,KAN202GH,Suspension Work,engine knoking,"Oil filter, Brake pads",Tijani,24029,Cash,Yes,2.0,3.5,Customer waited,Pending,VIP Section,Road Sign,15,Available,Ladipo Market,Emergency,Returning,Govt Convoy,Specialist,40000,30000,YES,5000,N/A,,no,,no complain,N,,,one time,followed up
02-21-2025,CUS480,Tunde Bayo,08021079489,Mercedes-Benz GLE,LAG476GH,Battery Replacement,engine knoking,"Oil filter, Brake pads",Musa,54877,CASH,No,1.0,2.2,Urgent service,Pending,main bay,whatsapp,45,Available,Ladipo Market,Emergncy,Returning,Logistics Co,speciallist,40000,,No,0,LOYALTY10,2025-11-08,,Shock absorber weakening,no complain,N,No,Towing needed,One-time,
07/03/2025,CUS481,Emeka Okafor,08083608832,Toyota Corolla,LAG500EF,Suspension Work,Oill Change,Shock absorbers,Isaac Bobo,51869,pos,No,4.0,3.4,,Completed,VIP Section,Mechanic Referral,60,Ordered,Customer Brought,Emergency,Fleet Owner,Logistics Co,Senior ,30000,40000,,5000,,2025-08-07,No,Needs tire alignment,Always late,Y,,No,One-time,yes
10/05/2025,CUS482,Aisha Bello,08098184081,Lexus RX 350,KAN919CD,Brake Service,Suspenshun Noise,Air filter,,44217,Transfer,Yes,2.0,3.3,Recommended further checks,In progress,,Road Sign,45mins,Ordered,Customer Brought,Emergncy,Uber Driver,Govt Convoy,,30000,20000,YES,10000,NONE,2025-06-20,No,,Always late,Yes,YES,Towing needed,gold,No
30/01/2025,CUS483,John Doe,08042520097,Mercedes-Benz C300,LAG526EF,Engine Repair,engine knoking,Air filter,Uche,30787,POS,No,4.0,5.3,Urgent service,Pending,VIP Section,Mechanic Referral,45mins,Unavailable,Benz supply,Normal,First Time,Private,,30000,30k,no,5000,Promo10,,No,,,No,Yes,No,,yes
2025-04-12,CUS484,John Doe,08068750274,Toyota Corolla,ABJ128EF,Suspension Work,oilchng,Battery,Uche,118497,transfer,No,,3.7,Changed all filters,In progress,VIP Section,Mechanic Referral,60,availaible,Ladipo Market,Emergency,Fleet Owner,Logistics Co,speciallist,15000,,YES,10000,NONE,2025-10-19,YES,Shock absorber weakening,,N,no,Towing needed,One-time,followed up
19/02/2025,CUS485,Tunde Bayo,08028824809,Mercedes-Benz GLE,LAG223GH,Battery Replacement,Suspensn Noise,"Oil filter, Brake pads",Uche,99712,pos,Yes,3.0,3.1,Recommended further checks,Pending,VIP Section,whatsapp,45mins,Unavailable,Customer Brought,Emergncy,First Time,Govt Convoy,speciallist,15000,30000,YES,5000,NONE,06/08/2025,no,,,Yes,Yes,Yes,one time,Yes
01-10-2025,CUS486,Tunde Bayo,08073188059,Mercedes-Benz C300,LAG111GH,Brake Service,brake faliure,Air filter,,92802,pos,No,,4.8,Changed all filters,Completed,,Mechanik Referal,45mins,Available,Customer Brought,Booking,Uber Driver,Private,speciallist,,,,5000,,2025-09-01,No,Needs tire alignment,,No,YES,Yes,,No
02-09-2025,CUS487,Emeka Okafor,08047465789,Mercedes-Benz GLE,LAG134GH,Brake Service,oilchng,Battery,Isaac Bobo,94153,Transfer,Yes,3.0,2.9,Urgent service,In progress,VIP section,Road Sign,15,availaible,Direct from Benz,Booking,First Time,Logistics Co,Specialist,,30k,,10000,NONE,28/09/2025,no,,,,Yes,Towing needed,one time,followed up
18/05/2025,CUS488,Aisha Bello,08031658249,Toyota Corolla,KAN772GH,Brake Service,oilchng,Battery,Tijani,10993,POS,Yes,5.0,1.0,Customer waited,In progress,Main Bay,Road Sign,15,Ordered,Ladipo Market,Booking,Fleet Owner,Logistics Co,speciallist,twenty thousand,,Yes,5000,Promo10,2025-07-01,No,Shock absorber weakening,Prefers morning,Y,No,,Gold Maintenance Plan,Yes
15/01/2025,CUS489,Emeka Okafor,08032896080,Mercedes-Benz C300,LAG143EF,Oil Change,Enjin Knockin,Shock absorbers,,39076,pos,Yes,,5.6,Customer waited,Pending,Under tree,Road Sign,15,Unavailable,Benz supply,Emergncy,Uber Driver,,Specialist,25000,20000,No,10000,N/A,2025-08-29,YES,,,Y,Yes,Towing needed,,
05-23-2025,CUS490,Ngozi Nwachukwu,08012424794,Mercedes-Benz GLE,ABJ579GH,Brake Service,Suspenshun Noise,Timing belt,Uche,101907,Transfer,No,4.0,2.5,Recommended further checks,In progress,VIP Section,Mechanic Referral,45,Available,Direct from Benz,Emergncy,first timer,,speciallist,40000,30k,Yes,5k,NONE,,no,,Prefers morning,N,no,Towing needed,Gold Maintenance Plan,No
05-28-2025,CUS491,Tunde Bayo,08091468625,Lexus RX 350,LAG383CD,Battery Replacement,oilchng,"Oil filter, Brake pads",Isaac Bobo,103104,POS,Yes,2.0,3.6,,Completed,VIP Section,Mechanik Referal,45mins,Available,Customer Brought,Emergncy,Uber Driver,,Apprentice,,30k,No,0,,2025-08-28,,,,Y,,,Gold Maintenance Plan,followed up
2025-03-26,CUS492,John Doe,08023490911,Lexus RX 350,ABJ466GH,Battery Replacement,oilchng,"Oil filter, Brake pads",Tijani,47415,Transfer,No,2.0,2.9,Changed all filters,Completed,,Instagram,30,Available,Direct from Benz,Normal,First Time,,Senior ,25000,20000,YES,0,N/A,14/08/2025,,Shock absorber weakening,,Y,no,,gold,No
08/01/2025,CUS493,John Doe,08033788294,Toyota Corolla,KAN315EF,Battery Replacement,suspension noiz,Timing belt,Musa,14244,POS,Yes,,2.3,Recommended further checks,Completed,VIP section,Instagram,15,Available,ladipo mkt,Emergncy,Fleet Owner,Govt Convoy,Apprentice,,35000,no,,LOYALTY10,,No,,no complain,,no,No,,No
02-12-2025,CUS494,Emeka Okafor,08049479427,Mercedes-Benz C300,KAN637EF,Suspension Work,oilchng,Shock absorbers,Uche,42728,Cash,Yes,,1.3,Urgent service,In progress,VIP section,Mechanic Referral,30,Unavailable,Benz supply,Normal,Uber Driver,,,40000,40000,YES,10000,,08/11/2025,no,Shock absorber weakening,,N,No,Towing needed,one time,
02-17-2025,CUS495,Emeka Okafor,08026663316,Mercedes-Benz GLE,KAN164CD,Engine Repair,Brake Falure,Battery,,17687,Cash,No,1.0,4.5,Customer waited,Pending,VIP Section,Instagram,60,Unavailable,Customer Brought,Emergncy,first timer,,Senior,30000,35000,no,,N/A,,Yes,,no complain,Yes,Yes,,,yes
03-22-2025,CUS496,Tunde Bayo,08081760022,Mercedes-Benz GLE,KAN255EF,Suspension Work,brake faliure,Timing belt,Isaac Bobo,26343,transfer,Yes,,3.1,Changed all filters,Completed,,Mechanik Referal,60,orderd,Direct from Benz,Normal,Uber Driver,Logistics Co,Senior ,30000,35000,YES,,NONE,2025-10-13,YES,,Always late,,No,No,,Yes
2025-01-09,CUS497,Emeka Okafor,08062458932,Lexus RX 350,KAN836GH,Suspension Work,brake failur,Air filter,Isaac Bobo,12209,transfer,No,5.0,1.2,Customer waited,Pending,VIP Section,Mechanik Referal,,Available,Ladipo Market,Emergncy,Returning,,Apprentice,40000,,YES,10000,N/A,2025-12-07,no,,Always late,Yes,,No,Gold Maintenance Plan,
02/03/2025,CUS498,John Doe,08032609429,Toyota Corolla,LAG570GH,Suspension Work,Suspenshun Noise,Air filter,Musa,90758,transfer,Yes,2.0,1.5,,In progress,VIP Section,Instagram,,orderd,Ladipo Market,Emergncy,Fleet Owner,Bolt Driver,Apprentice,25000,,Yes,,N/A,,No,,,Y,Yes,No,Gold Maintenance Plan,followed up
25/02/2025,CUS499,John Doe,08020413322,Mercedes-Benz C300,ABJ385GH,Brake Service,engine knoking,Timing belt,Uche,57603,Cash,No,2.0,6.0,Customer waited,In progress,Main Bay,Mechanic Referral,15,Unavailable,Direct from Benz,normal,First Time,Logistics Co,Apprentice,30000,35000,Yes,5k,Promo10,,No,Needs tire alignment,,,YES,Yes,One-time,followed up
2025-02-14,CUS500,John Doe,08011504663,Lexus RX 350,LAG503CD,Suspension Work,Oill Change,Air filter,Uche,63154,pos,Yes,3.0,3.3,Urgent service,Pending,VIP section,Mechanik Referal,,availaible,Benz supply,Booking,first timer,,Senior ,,,no,0,Promo10,,No,Shock absorber weakening,Prefers morning,No,no,,,No
04-24-2025,CUS501,Ngozi Nwachukwu,08046675298,Lexus RX 350,KAN595EF,Engine Repair,Suspensn Noise,Air filter,Isaac Bobo,75062,Cash,No,3.0,5.7,Recommended further checks,In progress,Under tree,Mechanik Referal,60,Available,ladipo mkt,Emergency,Fleet Owner,Private,Senior ,30000,30k,,5k,,18/10/2025,YES,,Prefers morning,,,Towing needed,one time,followed up
2025-01-07,CUS502,Emeka Okafor,08030601948,Honda Accord,LAG720GH,Engine Repair,Oill Change,None,Tijani,83980,transfer,No,3.0,4.2,Urgent service,Completed,Under tree,Instagram,15,availaible,ladipo mkt,normal,Fleet Owner,Logistics Co,Apprentice,twenty thousand,30k,,5000,,,YES,,Prefers morning,No,No,No,gold,No
05-04-2025,CUS503,Tunde Bayo,08069144114,Lexus RX 350,ABJ689GH,Suspension Work,Brake Falure,"Oil filter, Brake pads",Musa,110717,CASH,No,4.0,2.0,Changed all filters,In progress,VIP section,Instagram,45mins,Available,Ladipo Market,normal,first timer,Govt Convoy,Apprentice,15000,30000,No,0,LOYALTY10,,no,Needs tire alignment,,Y,,Yes,one time,Yes
2025-05-15,CUS504,John Doe,08058061622,Mercedes-Benz GLE,KAN894GH,Brake Service,Oill Change,"Oil filter, Brake pads",Tijani,93864,CASH,Yes,1.0,3.7,Recommended further checks,Pending,Under tree,Word of Mouth,15,Ordered,Ladipo Market,normal,Fleet Owner,,Senior ,40000,35000,Yes,10000,N/A,,no,,,Yes,no,Yes,Gold Maintenance Plan,No
2025-01-26,CUS505,Ngozi Nwachukwu,08033882733,Toyota Corolla,KAN365CD,Oil Change,brake faliure,None,Uche,69175,CASH,Yes,3.0,5.1,,In progress,,whatsapp,60,availaible,Customer Brought,normal,First Time,Private,Senior ,,30k,,0,N/A,,no,Needs tire alignment,,,Yes,,One-time,Yes
04-10-2025,CUS506,Emeka Okafor,08039081281,Lexus RX 350,KAN431GH,Battery Replacement,,"Oil filter, Brake pads",Isaac Bobo,58308,pos,Yes,5.0,5.6,Recommended further checks,In progress,VIP section,Mechanik Referal,60,availaible,Ladipo Market,Emergncy,first timer,Private,Senior,15000,35000,YES,10000,,09/10/2025,Yes,,no complain,No,No,,Gold Maintenance Plan,Yes
30/01/2025,CUS507,Aisha Bello,08014623108,Honda Accord,KAN456GH,Brake Service,Suspensn Noise,Shock absorbers,Musa,65468,POS,No,5.0,3.0,Customer waited,Pending,Under tree,whatsapp,15,availaible,ladipo mkt,Emergncy,Returning,Bolt Driver,,40000,40000,Yes,5000,LOYALTY10,,Yes,,Prefers morning,Y,no,Towing needed,Gold Maintenance Plan,followed up
02/06/2025,CUS508,Tunde Bayo,08081443936,Lexus RX 350,KAN949EF,Suspension Work,Oil chang,Battery,Musa,113132,pos,Yes,4.0,2.3,Customer waited,Completed,,Mechanic Referral,30,Available,Direct from Benz,Booking,Uber Driver,Govt Convoy,Senior ,30000,35000,,0,NONE,2025-10-05,YES,Needs tire alignment,Prefers morning,Y,,,,Yes
01-27-2025,CUS509,Tunde Bayo,08039013376,Mercedes-Benz GLE,ABJ146CD,Engine Repair,oilchng,"Oil filter, Brake pads",,50404,Cash,No,5.0,5.9,Urgent service,Pending,VIP section,whatsapp,45,Unavailable,Benz supply,Emergncy,Fleet Owner,,Specialist,25000,20000,,10000,LOYALTY10,21/10/2025,Yes,Shock absorber weakening,no complain,Y,YES,Yes,One-time,followed up
06/01/2025,CUS510,Tunde Bayo,08069332039,Mercedes-Benz C300,KAN262CD,Oil Change,brake faliure,None,Isaac Bobo,91645,CASH,Yes,5.0,5.8,,Pending,VIP section,Word of Mouth,30,Unavailable,Ladipo Market,Booking,Fleet Owner,,speciallist,30000,,no,5000,,2025-10-11,YES,Needs tire alignment,no complain,No,No,No,,No
2025-06-13,CUS511,Tunde Bayo,08016409704,Mercedes-Benz C300,ABJ781CD,Suspension Work,engine knoking,Timing belt,Tijani,18504,POS,Yes,5.0,1.2,Urgent service,Completed,main bay,Mechanik Referal,15,Available,ladipo mkt,normal,Uber Driver,Bolt Driver,Specialist,twenty thousand,20000,Yes,10000,LOYALTY10,,,,Prefers morning,N,no,,gold,yes
